,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Monthly,base_gallons_Weekly,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Monthly,en_account_type_Weekly,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Monthly,staging_id_Weekly,execution_date_Monthly,execution_date_Weekly,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,beginning_gallons_Daily,en_allocation_status_Daily,percentage_allocation_Daily_actual,percentage_allocation_Daily,alerts_ratability_Daily,next_refresh_date_Daily,NRB_Daily,next_refresh_base_gallons_Daily,remaining_gallons_Daily,additional_gallons_allowed_Daily,additional_gallons_remaining_Daily,execution_date_Daily,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-11-01,2015-11-01 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,0,0,0,0,1,w1,0,0,0,121000,27500,Available,Available,-1,100,-1,100,-1,-1,12/01 00:00:00 MST,w1,0,2015-11-08 00:00:00,Contract,Contract,0,-1,-1,121000,27500,0,0,0,0,7366956,7366955,2015-11-01 22:26:39,2015-11-01 22:26:39,Mansfield,Mansfield,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,27500,0,0,0,False,True,0,True,0,True,0,121000,27500,-1,-1,-1,-1.0,-1,0,27500.0,3929.0,117870.0,-1.0,1,1
2015-11-02,2015-11-02 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,0,0,0,0,1,w1,0,0,16609,121000,27500,Available,Available,-1,100,-1,100,-1,-1,12/01 00:00:00 MST,w1,0,2015-11-08 00:00:00,Contract,Contract,0,-1,-1,121000,27500,0,0,0,0,7416579,7416578,2015-11-02 22:24:40,2015-11-02 22:24:40,Mansfield,Mansfield,0,1,16609,3,16609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,27500,0,0,0,False,True,16609,True,16609,True,-16609,121000,10891,-1,-1,-1,-1.0,-1,0,27500.0,3929.0,117870.0,206.0,0,0
2015-11-03,2015-11-03 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,16609,0,16609,16609,1,w1,0,0,24610,121000,27500,Available,Available,-1,100,-1,100,-1,-1,12/01 00:00:00 MST,w1,0,2015-11-08 00:00:00,Contract,Contract,0,-1,-1,104391,10891,0,0,0,0,7477604,7477603,2015-11-03 22:15:00,2015-11-03 22:15:00,Mansfield,Mansfield,0,1,8001,3,8001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,27500,0,0,0,False,True,24610,True,24610,True,-8001,104391,2890,-1,-1,-1,137.0,-1,0,27500.0,3929.0,117870.0,203.0,0,0
2015-11-04,2015-11-04 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,24610,0,24610,24610,1,w1,0,0,24610,121000,27500,Available,Low,-1,100,-1,100,-1,-1,12/01 00:00:00 MST,w1,0,2015-11-08 00:00:00,Contract,Contract,0,-1,-1,96390,2890,0,0,0,0,7701543,7701542,2015-11-04 23:49:06,2015-11-04 23:49:06,Mansfield,Mansfield,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,27500,0,0,0,False,True,24610,True,24610,True,0,96390,2890,-1,-1,-1,153.0,-1,0,27500.0,3929.0,117870.0,153.0,1,1
2015-11-05,2015-11-05 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,24610,0,24610,24610,1,w1,0,0,24610,121000,27500,Available,Low,-1,100,-1,100,-1,-1,12/01 00:00:00 MST,w1,0,2015-11-08 00:00:00,Contract,Contract,0,-1,-1,96390,2890,0,0,0,0,7839216,7839215,2015-11-05 22:16:27,2015-11-05 22:16:27,Mansfield,Mansfield,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,27500,0,0,0,False,True,24610,True,24610,True,0,96390,2890,-1,-1,-1,122.0,-1,0,27500.0,3929.0,117870.0,122.0,1,1
2015-11-06,2015-11-06 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,24610,0,24610,24610,0,w1,0,0,24610,121000,27500,Available,Low,-1,100,-1,100,-1,-1,12/01 00:00:00 MST,w1,0,2015-11-08 00:00:00,Contract,Contract,-1,-1,-1,96390,2890,0,0,0,0,7861263,7861262,2015-11-06 11:12:27,2015-11-06 11:12:27,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,27500,0,0,0,False,True,24610,True,24610,True,0,96390,2890,-1,-1,-1,102.0,-1,0,27500.0,3929.0,117870.0,102.0,1,1
2015-11-07,2015-11-07 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,-1,-1,-1,2,31608,-1,2,w2,-1,0,31608,-1,-1,-1,-1,-1,100,-1,100,-1,-1,-1,w1,1,2015-11-08 00:00:00,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-11-07 00:00:00,2015-11-07 00:00:00,-1,-1,-1,2,6998,0,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,2015-11-07 00:00:00,0,121000,27500,0,0,0,True,True,31608,True,31608,True,-1,-1,-1,-1,-1,-1,112.0,-1,100,27500.0,3929.0,117870.0,112.0,0,1
2015-11-08,2015-11-08 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,31608,0,31608,0,1,w2,0,0,0,121000,27500,Available,Available,-1,100,-1,100,-1,-1,12/01 00:00:00 MST,w2,0,2015-11-15 00:00:00,Contract,Contract,0,-1,-1,89392,27500,0,0,0,0,7979213,7979212,2015-11-08 22:17:09,2015-11-08 22:17:09,Mansfield,Mansfield,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,27500,0,0,0,False,True,0,True,31608,True,0,89392,27500,-1,-1,-1,98.0,-1,0,27500.0,3929.0,117870.0,98.0,0,1
2015-11-09,2015-11-09 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,31608,0,31608,0,1,w2,0,0,10012,121000,27500,Available,Available,-1,100,-1,100,-1,-1,12/01 00:00:00 MST,w2,0,2015-11-15 00:00:00,Contract,Contract,0,-1,-1,89392,27500,0,0,0,0,8030311,8030310,2015-11-09 22:15:43,2015-11-09 22:15:43,Mansfield,Mansfield,0,1,10012,3,10012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,27500,0,0,0,False,True,10012,True,41620,True,-10012,89392,17488,-1,-1,-1,87.0,-1,0,27500.0,3929.0,117870.0,115.0,0,0
2015-11-10,2015-11-10 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,41620,0,41620,10012,1,w2,0,0,10012,121000,27500,Available,Available,-1,100,-1,100,-1,-1,12/01 00:00:00 MST,w2,0,2015-11-15 00:00:00,Contract,Contract,0,-1,-1,79380,17488,0,0,0,0,8081985,8081984,2015-11-10 23:37:59,2015-11-10 23:37:59,Mansfield,Mansfield,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,27500,0,0,0,False,True,10012,True,41620,True,0,79380,17488,-1,-1,-1,103.0,-1,0,27500.0,3929.0,117870.0,103.0,0,1
