,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Weekly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Weekly,en_allocation_status_Weekly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Weekly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Weekly,next_refresh_base_gallons_Weekly,remaining_gallons_Weekly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Weekly,staging_id_Weekly,execution_date_Weekly,customer_name_Weekly,base_gallons_Daily,base_gallons_Monthly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,beginning_gallons_Daily,beginning_gallons_Monthly,en_allocation_status_Daily,en_allocation_status_Monthly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,alerts_ratability_Daily,alerts_ratability_Monthly,next_refresh_date_Daily,next_refresh_date_Monthly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,remaining_gallons_Daily,remaining_gallons_Monthly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,execution_date_Daily,execution_date_Monthly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2016-01-11,2016-01-11 00:00:00,Husky,MANSFIELD ULSD CONTRACT ROMULUS,MANSFIELD ULSD CONTRACT- ROMULUS,Diesel,143077,21803,1,w2,0,0,0,143077,Available,100%,100,Above Trend,w2,0,2016-01-15 00:00:00,Contract,-1,121274,0,0,12707154,2016-01-11 20:09:05,Mansfield,0,0,1,0,3,9003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143077,0,0,143077,False,True,0,True,0,True,0,0,143077,-1,-1,-1,-1,-1,0,143077.0,20440.0,633640.0,-1,0,1
2016-01-12,2016-01-12 00:00:00,Husky,MANSFIELD ULSD CONTRACT ROMULUS,MANSFIELD ULSD CONTRACT- ROMULUS,Diesel,143077,30806,1,w2,0,0,0,143077,Available,100%,100,Above Trend,w2,0,2016-01-15 00:00:00,Contract,-1,112271,0,0,12860918,2016-01-12 22:07:58,Mansfield,0,0,1,0,3,20005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143077,0,0,143077,False,True,0,True,0,True,0,0,143077,-1,-1,-1,-1,-1,0,143077.0,20440.0,633640.0,-1,0,1
2016-01-13,2016-01-13 00:00:00,Husky,MANSFIELD ULSD CONTRACT ROMULUS,MANSFIELD ULSD CONTRACT- ROMULUS,Diesel,143077,50811,1,w2,0,0,0,143077,Available,100%,100,Above Trend,w2,0,2016-01-15 00:00:00,Contract,-1,92266,0,0,12926471,2016-01-13 22:03:47,Mansfield,0,0,1,0,3,35610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143077,0,0,143077,False,True,0,True,0,True,0,0,143077,-1,-1,-1,-1,-1,0,143077.0,20440.0,633640.0,-1,0,1
2016-01-14,2016-01-14 00:00:00,Husky,MANSFIELD ULSD CONTRACT ROMULUS,MANSFIELD ULSD CONTRACT- ROMULUS,Diesel,143077,86421,1,w2,0,0,0,143077,Available,100%,100,Above Trend,w2,0,2016-01-15 00:00:00,Contract,-1,56656,0,0,13016907,2016-01-14 22:04:43,Mansfield,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143077,0,0,143077,False,True,0,True,0,True,0,0,143077,-1,-1,-1,-1,-1,0,143077.0,20440.0,633640.0,-1,0,1
2016-01-15,2016-01-15 00:00:00,Husky,MANSFIELD ULSD CONTRACT ROMULUS,MANSFIELD ULSD CONTRACT- ROMULUS,Diesel,143077,25653,1,w3,0,0,0,143077,Available,100%,100,Above Trend,w3,0,2016-01-22 00:00:00,Contract,-1,117424,0,0,13074544,2016-01-15 23:23:55,Mansfield,0,0,1,0,3,18001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143077,0,0,143077,False,True,0,True,0,True,0,0,143077,-1,-1,-1,-1,-1,0,143077.0,20440.0,633640.0,-1,0,1
2016-01-16,2016-01-16 00:00:00,Husky,MANSFIELD ULSD CONTRACT ROMULUS,MANSFIELD ULSD CONTRACT- ROMULUS,Diesel,143077,43654,1,w3,0,0,0,143077,Available,100%,100,Above Trend,w3,0,2016-01-22 00:00:00,Contract,-1,99423,0,0,13259864,2016-01-16 22:10:16,Mansfield,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143077,0,0,143077,False,True,0,True,0,True,0,0,143077,-1,-1,-1,-1,-1,0,143077.0,20440.0,633640.0,-1,0,1
2016-01-17,2016-01-17 00:00:00,Husky,MANSFIELD ULSD CONTRACT ROMULUS,MANSFIELD ULSD CONTRACT- ROMULUS,Diesel,143077,43654,1,w3,0,0,0,143077,Available,100%,100,Above Trend,w3,0,2016-01-22 00:00:00,Contract,-1,99423,0,0,13420667,2016-01-17 22:08:49,Mansfield,0,0,1,0,3,40503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143077,0,0,143077,False,True,0,True,0,True,0,0,143077,-1,-1,-1,-1,-1,0,143077.0,20440.0,633640.0,-1,0,1
2016-01-18,2016-01-18 00:00:00,Husky,MANSFIELD ULSD CONTRACT ROMULUS,MANSFIELD ULSD CONTRACT- ROMULUS,Diesel,143077,84157,1,w3,0,0,0,143077,Available,100%,100,Above Trend,w3,0,2016-01-22 00:00:00,Contract,-1,58920,0,0,13509878,2016-01-18 23:39:03,Mansfield,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143077,0,0,143077,False,True,0,True,0,True,0,0,143077,-1,-1,-1,-1,-1,0,143077.0,20440.0,633640.0,-1,0,1
2016-01-19,2016-01-19 00:00:00,Husky,MANSFIELD ULSD CONTRACT ROMULUS,MANSFIELD ULSD CONTRACT- ROMULUS,Diesel,143077,84157,1,w3,0,0,0,143077,Available,100%,100,Above Trend,w3,0,2016-01-22 00:00:00,Contract,-1,58920,0,0,123838,2016-01-19 22:41:35,Mansfield,0,0,1,0,3,17501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143077,0,0,143077,False,True,0,True,0,True,0,0,143077,-1,-1,-1,-1,-1,0,143077.0,20440.0,633640.0,-1,0,1
2016-01-20,2016-01-20 00:00:00,Husky,MANSFIELD ULSD CONTRACT ROMULUS,MANSFIELD ULSD CONTRACT- ROMULUS,Diesel,143077,101658,1,w3,0,0,0,143077,Available,100%,100,Above Trend,w3,0,2016-01-22 00:00:00,Contract,-1,41419,0,0,258626,2016-01-20 22:04:20,Mansfield,0,0,1,0,3,21503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143077,0,0,143077,False,True,0,True,0,True,0,0,143077,-1,-1,-1,-1,-1,0,143077.0,20440.0,633640.0,-1,0,1
