,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Monthly,base_gallons_Weekly,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Monthly,en_account_type_Weekly,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Monthly,staging_id_Weekly,execution_date_Monthly,execution_date_Weekly,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,beginning_gallons_Daily,en_allocation_status_Daily,percentage_allocation_Daily_actual,percentage_allocation_Daily,alerts_ratability_Daily,next_refresh_date_Daily,NRB_Daily,next_refresh_base_gallons_Daily,remaining_gallons_Daily,additional_gallons_allowed_Daily,additional_gallons_remaining_Daily,execution_date_Daily,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-12-01,2015-12-01 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,0,0,0,0,1,w1,0,0,4198,121000,27500,Available,Available,-1,100,-1,100,-1,-1,01/01 00:00:00 MST,w2,0,2015-12-08 00:00:00,Contract,Contract,0,-1,-1,121000,27500,0,0,0,0,9241639,9241638,2015-12-01 22:16:16,2015-12-01 22:16:16,Mansfield,Mansfield,0,1,4198,3,4198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,27500,0,0,0,False,True,4198,True,0,0,-4198,121000,23302,-1,-1,-1,-1.0,-1,0,27500.0,3929.0,121799.0,-1,0,0
2015-12-02,2015-12-02 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,4198,0,4198,4198,1,w1,0,0,4198,121000,27500,Available,Available,-1,100,-1,100,-1,-1,01/01 00:00:00 MST,w2,0,2015-12-08 00:00:00,Contract,Contract,0,-1,-1,116802,23302,0,0,0,0,9295707,9295706,2015-12-02 22:17:36,2015-12-02 22:17:36,Mansfield,Mansfield,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,27500,0,0,0,True,True,4198,True,0,0,0,116802,23302,-1,-1,-1,54.0,-1,0,27500.0,3929.0,121799.0,-1,1,1
2015-12-03,2015-12-03 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,4198,0,4198,4198,1,w1,0,0,11197,121000,27500,Available,Available,-1,100,-1,100,-1,-1,01/01 00:00:00 MST,w2,0,2015-12-08 00:00:00,Contract,Contract,0,-1,-1,116802,23302,0,0,0,0,9348978,9348977,2015-12-03 22:17:45,2015-12-03 22:17:45,Mansfield,Mansfield,0,1,6999,3,6999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,27500,0,0,0,False,True,11197,True,0,0,-6999,116802,16303,-1,-1,-1,36.0,-1,0,27500.0,3929.0,121799.0,-1,0,0
2015-12-04,2015-12-04 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,11197,0,11197,11197,1,w1,0,0,11197,121000,27500,Available,Available,-1,100,-1,100,-1,-1,01/01 00:00:00 MST,w2,0,2015-12-08 00:00:00,Contract,Contract,0,-1,-1,109803,16303,0,0,0,0,9402694,9402693,2015-12-04 22:19:32,2015-12-04 22:19:32,Mansfield,Mansfield,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,27500,0,0,0,True,True,11197,True,0,0,0,109803,16303,-1,-1,-1,72.0,-1,0,27500.0,3929.0,121799.0,-1,1,1
2015-12-05,2015-12-05 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,11197,0,11197,11197,1,w1,0,0,11197,121000,27500,Available,Available,-1,100,-1,100,-1,-1,01/01 00:00:00 MST,w2,0,2015-12-08 00:00:00,Contract,Contract,0,-1,-1,109803,16303,0,0,0,0,9454691,9454690,2015-12-05 22:17:23,2015-12-05 22:17:23,Mansfield,Mansfield,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,27500,0,0,0,True,True,11197,True,0,0,0,109803,16303,-1,-1,-1,57.0,-1,0,27500.0,3929.0,121799.0,-1,1,1
2015-12-06,2015-12-06 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,11197,0,11197,11197,1,w1,0,0,21198,121000,27500,Available,Available,-1,100,-1,100,-1,-1,01/01 00:00:00 MST,w2,0,2015-12-08 00:00:00,Contract,Contract,0,-1,-1,109803,16303,0,0,0,0,9490017,9490016,2015-12-06 22:16:31,2015-12-06 22:16:31,Mansfield,Mansfield,0,1,10001,3,10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,27500,0,0,0,False,True,21198,True,0,0,-10001,109803,6302,-1,-1,-1,48.0,-1,0,27500.0,3929.0,121799.0,-1,0,0
2015-12-07,2015-12-07 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,21198,0,21198,21198,1,w1,0,0,21198,121000,27500,Available,Limited,-1,100,-1,100,-1,-1,01/01 00:00:00 MST,w2,0,2015-12-08 00:00:00,Contract,Contract,0,-1,-1,99802,6302,0,0,0,0,9534275,9534274,2015-12-07 22:16:32,2015-12-07 22:16:32,Mansfield,Mansfield,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,27500,0,0,0,True,True,21198,True,0,0,0,99802,6302,-1,-1,-1,78.0,-1,0,27500.0,3929.0,121799.0,-1,1,1
2015-12-08,2015-12-08 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,21198,0,21198,0,1,w2,0,0,11203,121000,27500,Available,Available,-1,100,-1,100,-1,-1,01/01 00:00:00 MST,w3,0,2015-12-15 00:00:00,Contract,Contract,0,-1,-1,99802,27500,0,0,0,0,9588330,9588329,2015-12-08 22:17:49,2015-12-08 22:17:49,Mansfield,Mansfield,0,1,11203,3,11203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,27500,0,0,0,False,True,11203,True,0,0,-11203,99802,16297,-1,-1,-1,68.0,-1,0,27500.0,3929.0,121799.0,-1,0,0
2015-12-09,2015-12-09 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,32401,0,32401,11203,1,w2,0,0,11203,121000,27500,Available,Available,-1,100,-1,100,-1,-1,01/01 00:00:00 MST,w3,0,2015-12-15 00:00:00,Contract,Contract,0,-1,-1,88599,16297,0,0,0,0,9639171,9639170,2015-12-09 22:17:27,2015-12-09 22:17:27,Mansfield,Mansfield,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,27500,0,0,0,True,True,11203,True,0,0,0,88599,16297,-1,-1,-1,92.0,-1,0,27500.0,3929.0,121799.0,-1,1,1
2015-12-10,2015-12-10 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,32401,0,32401,11203,1,w2,0,0,11203,121000,27500,Available,Available,-1,100,-1,100,-1,-1,01/01 00:00:00 MST,w3,0,2015-12-15 00:00:00,Contract,Contract,0,-1,-1,88599,16297,0,0,0,0,9677232,9677231,2015-12-10 22:19:50,2015-12-10 22:19:50,Mansfield,Mansfield,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,27500,0,0,0,True,True,11203,True,0,0,0,88599,16297,-1,-1,-1,83.0,-1,0,27500.0,3929.0,121799.0,-1,1,1
