,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Weekly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Weekly,en_allocation_status_Weekly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Weekly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Weekly,next_refresh_base_gallons_Weekly,remaining_gallons_Weekly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Weekly,staging_id_Weekly,execution_date_Weekly,customer_name_Weekly,base_gallons_Daily,base_gallons_Monthly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,beginning_gallons_Daily,beginning_gallons_Monthly,en_allocation_status_Daily,en_allocation_status_Monthly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,alerts_ratability_Daily,alerts_ratability_Monthly,next_refresh_date_Daily,next_refresh_date_Monthly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,remaining_gallons_Daily,remaining_gallons_Monthly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,execution_date_Daily,execution_date_Monthly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-08-01,2015-08-01 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,7500,1,w1,0,0,0,48462,Available,100%,100,Above Trend,w1,0,2015-08-07 00:00:00,Contract,-1,40962,0,0,2567841,2015-08-01 22:02:52,Mansfield,0,0,1,0,3,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,True,True,0,True,0,True,0,0,48462,-1,-1,-1,-1,-1,0,48462.0,6923.0,214613.0,-1,0,1
2015-08-02,2015-08-02 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,15000,1,w1,0,0,0,48462,Available,100%,100,Above Trend,w1,0,2015-08-07 00:00:00,Contract,-1,33462,0,0,2613579,2015-08-02 22:02:53,Mansfield,0,0,1,0,3,30004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,False,True,0,True,0,True,0,0,48462,-1,-1,-1,-1,-1,0,48462.0,6923.0,214613.0,-1,0,1
2015-08-03,2015-08-03 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,45004,1,w1,0,0,0,48462,Out,100%,100,Above Trend,w1,0,2015-08-07 00:00:00,Contract,-1,3458,0,0,2668713,2015-08-03 22:03:09,Mansfield,0,0,1,0,3,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,True,True,0,True,0,True,0,0,48462,-1,-1,-1,-1,-1,0,48462.0,6923.0,214613.0,-1,0,1
2015-08-04,2015-08-04 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,52504,1,w1,0,0,0,48462,Out,100%,100,Above Trend,w1,0,2015-08-07 00:00:00,Contract,-1,-4042,0,0,2724038,2015-08-04 22:02:56,Mansfield,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,False,True,0,True,0,True,0,0,48462,-1,-1,-1,-1,-1,0,48462.0,6923.0,214613.0,-1,0,1
2015-08-05,2015-08-05 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,52504,1,w1,0,0,0,48462,Out,100%,100,Above Trend,w1,0,2015-08-07 00:00:00,Contract,-1,-4042,7500,7500,2782620,2015-08-05 19:03:09,Mansfield,0,0,1,0,3,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,True,True,0,True,0,True,0,0,48462,-1,-1,-1,-1,-1,0,48462.0,6923.0,214613.0,-1,0,1
2015-08-06,2015-08-06 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,60004,1,w1,0,0,0,48462,Out,100%,100,Above Trend,w1,0,2015-08-07 00:00:00,Contract,-1,-4042,7000,500,2842891,2015-08-06 22:03:00,Mansfield,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,False,True,0,True,0,True,0,0,48462,-1,-1,-1,-1,-1,0,48462.0,6923.0,214613.0,-1,0,1
2015-08-07,2015-08-07 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,6300,1,w2,0,0,0,48462,Available,100%,100,Above Trend,w2,0,2015-08-14 00:00:00,Contract,-1,42162,0,0,2896233,2015-08-07 22:02:51,Mansfield,0,0,1,0,3,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,False,True,0,True,0,True,0,0,48462,-1,-1,-1,-1,-1,0,48462.0,6923.0,214613.0,-1,0,1
2015-08-08,2015-08-08 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,21300,1,w2,0,0,0,48462,Available,100%,100,Above Trend,w2,0,2015-08-14 00:00:00,Contract,-1,27162,0,0,2952067,2015-08-08 22:02:46,Mansfield,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,False,True,0,True,0,True,0,0,48462,-1,-1,-1,-1,-1,0,48462.0,6923.0,214613.0,-1,0,1
2015-08-09,2015-08-09 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,21300,1,w2,0,0,0,48462,Available,100%,100,Above Trend,w2,0,2015-08-14 00:00:00,Contract,-1,27162,0,0,3004190,2015-08-09 22:03:51,Mansfield,0,0,1,0,3,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,False,True,0,True,0,True,0,0,48462,-1,-1,-1,-1,-1,0,48462.0,6923.0,214613.0,-1,0,1
2015-08-10,2015-08-10 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,28800,1,w2,0,0,0,48462,Available,100%,100,Above Trend,w2,0,2015-08-14 00:00:00,Contract,-1,19662,0,0,3065320,2015-08-10 22:03:50,Mansfield,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,False,True,0,True,0,True,0,0,48462,-1,-1,-1,-1,-1,0,48462.0,6923.0,214613.0,-1,0,1
2015-08-11,2015-08-11 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,28800,1,w2,0,0,0,48462,Available,100%,100,Above Trend,w2,0,2015-08-14 00:00:00,Contract,-1,19662,0,0,3112315,2015-08-11 22:01:28,Mansfield,0,0,1,0,3,22516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,False,True,0,True,0,True,0,0,48462,-1,-1,-1,-1,-1,0,48462.0,6923.0,214613.0,-1,0,1
2015-08-12,2015-08-12 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,51316,1,w2,0,0,0,48462,Out,100%,100,Above Trend,w2,0,2015-08-14 00:00:00,Contract,-1,-2854,0,0,3169304,2015-08-12 22:03:43,Mansfield,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,False,True,0,True,0,True,0,0,48462,-1,-1,-1,-1,-1,0,48462.0,6923.0,214613.0,-1,0,1
2015-08-13,2015-08-13 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,51316,1,w2,0,0,0,48462,Out,100%,100,Above Trend,w2,0,2015-08-14 00:00:00,Contract,-1,-2854,7500,7500,3225671,2015-08-13 22:03:48,Mansfield,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,False,True,0,True,0,True,0,0,48462,-1,-1,-1,-1,-1,0,48462.0,6923.0,214613.0,-1,0,1
