,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Monthly,base_gallons_Weekly,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Monthly,en_account_type_Weekly,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Monthly,staging_id_Weekly,execution_date_Monthly,execution_date_Weekly,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,beginning_gallons_Daily,en_allocation_status_Daily,percentage_allocation_Daily_actual,percentage_allocation_Daily,alerts_ratability_Daily,next_refresh_date_Daily,NRB_Daily,next_refresh_base_gallons_Daily,remaining_gallons_Daily,additional_gallons_allowed_Daily,additional_gallons_remaining_Daily,execution_date_Daily,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-10-01,2015-10-01 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,3898,0,3898,3898,1,w1,0,0,17004,121000,27500,Available,Available,-1,100,-1,100,-1,-1,11/01 00:00:00 MDT,w1,0,2015-10-08 00:00:00,Contract,Contract,0,-1,-1,117102,23602,0,0,0,0,5864519,5864518,2015-10-01 22:23:43,2015-10-01 22:23:43,Mansfield,Mansfield,0,1,17004,3,17004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,27500,0,0,0,False,True,17004,True,17004,False,-17004,117102,10496,-1,-1,-1,100.0,-1,0,27500.0,3929.0,121799.0,436.0,0,0
2015-10-02,2015-10-02 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,20902,0,20902,20902,1,w1,0,0,17004,121000,27500,Available,Limited,-1,100,-1,100,-1,-1,11/01 00:00:00 MDT,w1,0,2015-10-08 00:00:00,Contract,Contract,0,-1,-1,100098,6598,0,0,0,0,5917141,5917140,2015-10-02 22:24:14,2015-10-02 22:24:14,Mansfield,Mansfield,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,27500,0,0,0,False,True,17004,True,17004,False,0,100098,10496,-1,-1,-1,268.0,-1,0,27500.0,3929.0,121799.0,218.0,0,0
2015-10-03,2015-10-03 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,20902,0,20902,20902,1,w1,0,0,17004,121000,27500,Available,Limited,-1,100,-1,100,-1,-1,11/01 00:00:00 MDT,w1,0,2015-10-08 00:00:00,Contract,Contract,0,-1,-1,100098,6598,0,0,0,0,5963909,5963908,2015-10-03 22:23:59,2015-10-03 22:23:59,Mansfield,Mansfield,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,27500,0,0,0,False,True,17004,True,17004,False,0,100098,10496,-1,-1,-1,179.0,-1,0,27500.0,3929.0,121799.0,145.0,0,0
2015-10-04,2015-10-04 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,20902,0,20902,20902,1,w1,0,0,17004,121000,27500,Available,Limited,-1,100,-1,100,-1,-1,11/01 00:00:00 MDT,w1,0,2015-10-08 00:00:00,Contract,Contract,0,-1,-1,100098,6598,0,0,0,0,6010374,6010373,2015-10-04 22:23:44,2015-10-04 22:23:44,Mansfield,Mansfield,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,27500,0,0,0,False,True,17004,True,17004,False,0,100098,10496,-1,-1,-1,134.0,-1,0,27500.0,3929.0,121799.0,109.0,0,0
2015-10-05,2015-10-05 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,20902,0,20902,20902,1,w1,0,0,17004,121000,27500,Available,Limited,-1,100,-1,100,-1,-1,11/01 00:00:00 MDT,w1,0,2015-10-08 00:00:00,Contract,Contract,0,-1,-1,100098,6598,0,0,0,0,6064748,6064747,2015-10-05 22:23:30,2015-10-05 22:23:30,Mansfield,Mansfield,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,27500,0,0,0,False,True,17004,True,17004,False,0,100098,10496,-1,-1,-1,107.0,-1,0,27500.0,3929.0,121799.0,87.0,0,0
2015-10-06,2015-10-06 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,20902,0,20902,20902,1,w1,0,0,20201,121000,27500,Available,Limited,-1,100,-1,100,-1,-1,11/01 00:00:00 MDT,w1,0,2015-10-08 00:00:00,Contract,Contract,0,-1,-1,100098,6598,0,0,0,0,6121508,6121507,2015-10-06 22:23:20,2015-10-06 22:23:20,Mansfield,Mansfield,0,1,3197,3,3197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,27500,0,0,0,False,True,20201,True,20201,False,-3197,100098,7299,-1,-1,-1,89.0,-1,0,27500.0,3929.0,121799.0,86.0,0,0
2015-10-07,2015-10-07 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,24099,0,24099,24099,1,w1,0,0,39698,121000,27500,Available,Low,-1,100,-1,100,-1,-1,11/01 00:00:00 MDT,w1,0,2015-10-08 00:00:00,Contract,Contract,0,-1,-1,96901,3401,0,0,0,0,6171526,6171525,2015-10-07 22:24:00,2015-10-07 22:24:00,Mansfield,Mansfield,0,1,19497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,27500,0,0,0,False,True,39698,True,39698,False,-19497,96901,-12198,-1,-1,-1,88.0,-1,100,27500.0,3929.0,121799.0,145.0,0,0
2015-10-08,2015-10-08 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,43596,0,43596,19497,1,w2,0,0,6699,121000,27500,Available,Limited,-1,100,-1,100,-1,-1,11/01 00:00:00 MDT,w2,0,2015-10-15 00:00:00,Contract,Contract,0,-1,-1,77404,8003,0,0,0,0,6224669,6224668,2015-10-08 22:24:18,2015-10-08 22:24:18,Mansfield,Mansfield,0,1,6699,3,6699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,27500,0,0,0,False,True,6699,True,46397,False,-6699,77404,20801,-1,-1,-1,140.0,-1,0,27500.0,3929.0,121799.0,149.0,0,0
2015-10-09,2015-10-09 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,50295,0,50295,26196,1,w2,0,0,6699,121000,27500,Available,Low,-1,100,-1,100,-1,-1,11/01 00:00:00 MDT,w2,0,2015-10-15 00:00:00,Contract,Contract,0,-1,-1,70705,1304,0,0,0,0,6273405,6273404,2015-10-09 22:18:24,2015-10-09 22:18:24,Mansfield,Mansfield,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,27500,0,0,0,False,True,6699,True,46397,False,0,70705,20801,-1,-1,-1,143.0,-1,0,27500.0,3929.0,121799.0,132.0,0,0
2015-10-10,2015-10-10 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,50295,0,50295,26196,1,w2,0,0,6699,121000,27500,Available,Low,-1,100,-1,100,-1,-1,11/01 00:00:00 MDT,w2,0,2015-10-15 00:00:00,Contract,Contract,0,-1,-1,70705,1304,0,0,0,0,6322856,6322855,2015-10-10 22:28:23,2015-10-10 22:28:23,Mansfield,Mansfield,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,27500,0,0,0,False,True,6699,True,46397,False,0,70705,20801,-1,-1,-1,129.0,-1,0,27500.0,3929.0,121799.0,119.0,0,0
2015-10-11,2015-10-11 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,50295,0,50295,26196,1,w2,0,0,16703,121000,27500,Available,Low,-1,100,-1,100,-1,-1,11/01 00:00:00 MDT,w2,0,2015-10-15 00:00:00,Contract,Contract,0,-1,-1,70705,1304,0,0,0,0,6370824,6370823,2015-10-11 22:25:27,2015-10-11 22:25:27,Mansfield,Mansfield,0,1,10004,3,10004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,27500,0,0,0,False,True,16703,True,56401,False,-10004,70705,10797,-1,-1,-1,117.0,-1,0,27500.0,3929.0,121799.0,131.0,0,0
2015-10-12,2015-10-12 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,60299,0,60299,36200,1,w2,0,0,16703,121000,27500,Available,Out,-1,100,-1,100,-1,-1,11/01 00:00:00 MDT,w2,0,2015-10-15 00:00:00,Contract,Contract,0,-1,-1,60701,-8700,0,0,0,0,6425883,6425882,2015-10-12 22:24:51,2015-10-12 22:24:51,Mansfield,Mansfield,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,27500,0,0,0,False,True,16703,True,56401,False,0,60701,10797,-1,-1,-1,129.0,-1,0,27500.0,3929.0,121799.0,120.0,0,0
2015-10-13,2015-10-13 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,60299,0,60299,36200,1,w2,0,0,28398,121000,47300,Available,Limited,-1,100,-1,100,-1,-1,11/01 00:00:00 MDT,w2,0,2015-10-15 00:00:00,Contract,Contract,0,-1,-1,60701,11100,0,0,0,0,6480113,6480112,2015-10-13 22:24:12,2015-10-13 22:24:12,Mansfield,Mansfield,0,1,11695,3,11695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,47300,0,0,0,False,True,28398,True,68096,False,-11695,60701,18902,-1,-1,-1,119.0,-1,0,47300.0,6757.0,209467.0,134.0,0,0
2015-10-14,2015-10-14 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,71994,0,71994,47895,1,w2,0,0,37401,121000,47300,Available,Out,-1,100,-1,100,-1,-1,11/01 00:00:00 MDT,w2,0,2015-10-15 00:00:00,Contract,Contract,0,-1,-1,49006,-595,0,0,0,0,6534279,6534278,2015-10-14 22:25:52,2015-10-14 22:25:52,Mansfield,Mansfield,0,1,9003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,47300,0,0,0,False,True,37401,True,77099,False,-9003,49006,9899,-1,-1,-1,132.0,-1,0,47300.0,6757.0,209467.0,141.0,0,0
2015-10-15,2015-10-15 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,80997,0,80997,9003,1,w3,0,0,0,121000,27500,Limited,Available,-1,100,-1,100,-1,-1,11/01 00:00:00 MDT,w3,0,2015-10-22 00:00:00,Contract,Contract,0,-1,-1,40003,18497,0,0,0,0,6587040,6587039,2015-10-15 22:25:48,2015-10-15 22:25:48,Mansfield,Mansfield,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,27500,0,0,0,False,True,0,True,77099,False,0,40003,27500,-1,-1,-1,138.0,-1,0,27500.0,3929.0,121799.0,132.0,0,0
2015-10-16,2015-10-16 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,80997,0,80997,9003,1,w3,0,0,0,121000,27500,Limited,Available,-1,100,-1,100,-1,-1,11/01 00:00:00 MDT,w3,0,2015-10-22 00:00:00,Contract,Contract,0,-1,-1,40003,18497,0,0,0,0,6640152,6640151,2015-10-16 22:25:54,2015-10-16 22:25:54,Mansfield,Mansfield,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,27500,0,0,0,False,True,0,True,77099,False,0,40003,27500,-1,-1,-1,130.0,-1,0,27500.0,3929.0,121799.0,123.0,0,0
2015-10-17,2015-10-17 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,80997,0,80997,9003,1,w3,0,0,0,121000,27500,Limited,Available,-1,100,-1,100,-1,-1,11/01 00:00:00 MDT,w3,0,2015-10-22 00:00:00,Contract,Contract,0,-1,-1,40003,18497,0,0,0,0,6689852,6689851,2015-10-17 22:25:28,2015-10-17 22:25:28,Mansfield,Mansfield,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,27500,0,0,0,False,True,0,True,77099,False,0,40003,27500,-1,-1,-1,122.0,-1,0,27500.0,3929.0,121799.0,116.0,0,0
2015-10-18,2015-10-18 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,80997,0,80997,9003,1,w3,0,0,9999,121000,27500,Limited,Available,-1,100,-1,100,-1,-1,11/01 00:00:00 MDT,w3,0,2015-10-22 00:00:00,Contract,Contract,0,-1,-1,40003,18497,0,0,0,0,6719584,6719583,2015-10-18 22:23:31,2015-10-18 22:23:31,Mansfield,Mansfield,0,1,9999,3,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,27500,0,0,0,False,True,9999,True,87098,False,-9999,40003,17501,-1,-1,-1,115.0,-1,0,27500.0,3929.0,121799.0,124.0,0,0
2015-10-19,2015-10-19 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,90996,0,90996,19002,1,w3,0,0,9999,121000,27500,Limited,Limited,-1,100,-1,100,-1,-1,11/01 00:00:00 MDT,w3,0,2015-10-22 00:00:00,Contract,Contract,0,-1,-1,30004,8498,0,0,0,0,6762175,6762174,2015-10-19 22:23:21,2015-10-19 22:23:21,Mansfield,Mansfield,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,27500,0,0,0,False,True,9999,True,87098,False,0,30004,17501,-1,-1,-1,123.0,-1,0,27500.0,3929.0,121799.0,117.0,0,0
2015-10-20,2015-10-20 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,90996,0,90996,19002,1,w3,0,0,20004,121000,27500,Limited,Limited,-1,100,-1,100,-1,-1,11/01 00:00:00 MDT,w3,0,2015-10-22 00:00:00,Contract,Contract,0,-1,-1,30004,8498,0,0,0,0,6792857,6792856,2015-10-20 22:25:32,2015-10-20 22:25:32,Mansfield,Mansfield,0,1,10005,3,10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,27500,0,0,0,False,True,20004,True,97103,False,-10005,30004,7496,-1,-1,-1,117.0,-1,0,27500.0,3929.0,121799.0,124.0,0,0
2015-10-21,2015-10-21 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,101001,0,101001,29007,1,w3,0,0,24205,121000,33000,Limited,Low,-1,100,-1,100,-1,-1,11/01 00:00:00 MDT,w3,0,2015-10-22 00:00:00,Contract,Contract,0,-1,-1,19999,3993,0,0,0,0,6832176,6832175,2015-10-21 22:24:42,2015-10-21 22:24:42,Mansfield,Mansfield,0,1,4201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,33000,0,0,0,False,True,24205,True,101304,False,-4201,19999,8795,-1,-1,-1,123.0,-1,0,33000.0,4714.0,146134.0,124.0,0,0
2015-10-22,2015-10-22 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,105202,0,105202,4201,1,w4,0,0,10000,121000,27500,Low,Available,-1,100,-1,100,-1,-1,11/01 00:00:00 MDT,w4,0,2015-10-29 00:00:00,Contract,Contract,0,-1,-1,15798,23299,0,0,0,0,6867543,6867542,2015-10-22 22:25:27,2015-10-22 22:25:27,Mansfield,Mansfield,0,1,10000,3,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,27500,0,0,0,False,True,10000,True,111304,False,-10000,15798,17500,-1,-1,-1,123.0,-1,0,27500.0,3929.0,121799.0,130.0,0,0
2015-10-23,2015-10-23 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,115202,0,115202,14201,1,w4,0,0,10000,121000,27500,Low,Available,-1,100,-1,100,-1,-1,11/01 00:00:00 MDT,w4,0,2015-10-29 00:00:00,Contract,Contract,0,-1,-1,5798,13299,0,0,0,0,6913268,6913267,2015-10-23 22:24:21,2015-10-23 22:24:21,Mansfield,Mansfield,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,27500,0,0,0,False,True,10000,True,111304,False,0,5798,17500,-1,-1,-1,128.0,-1,0,27500.0,3929.0,121799.0,124.0,0,0
2015-10-24,2015-10-24 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,115202,0,115202,14201,1,w4,0,0,10000,121000,27500,Low,Available,-1,100,-1,100,-1,-1,11/01 00:00:00 MDT,w4,0,2015-10-29 00:00:00,Contract,Contract,0,-1,-1,5798,13299,0,0,0,0,6963026,6963025,2015-10-24 22:25:54,2015-10-24 22:25:54,Mansfield,Mansfield,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,27500,0,0,0,False,True,10000,True,111304,False,0,5798,17500,-1,-1,-1,123.0,-1,0,27500.0,3929.0,121799.0,119.0,0,0
2015-10-25,2015-10-25 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,115202,0,115202,14201,1,w4,0,0,10000,121000,27500,Low,Available,-1,100,-1,100,-1,-1,11/01 00:00:00 MDT,w4,0,2015-10-29 00:00:00,Contract,Contract,0,-1,-1,5798,13299,0,0,0,0,7005244,7005243,2015-10-25 22:25:19,2015-10-25 22:25:19,Mansfield,Mansfield,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,27500,0,0,0,False,True,10000,True,111304,False,0,5798,17500,-1,-1,-1,118.0,-1,0,27500.0,3929.0,121799.0,114.0,0,0
2015-10-26,2015-10-26 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,115202,0,115202,14201,1,w4,0,0,9509,121000,35200,Low,Available,-1,100,-1,100,-1,-1,11/01 00:00:00 MDT,w5,0,2015-11-01 00:00:00,Contract,Contract,0,-1,-1,5798,20999,0,0,0,0,7060049,7060048,2015-10-26 22:25:56,2015-10-26 22:25:56,Mansfield,Mansfield,0,1,9509,3,9509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,35200,0,0,0,False,True,9509,True,120813,False,-9509,5798,25691,-1,-1,-1,114.0,-1,0,35200.0,5029.0,155899.0,119.0,0,0
2015-10-27,2015-10-27 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,124711,0,124711,23710,1,w4,0,0,13512,121000,35200,Out,Limited,-1,100,-1,100,-1,-1,11/01 00:00:00 MDT,w5,0,2015-11-01 00:00:00,Contract,Contract,0,-1,-1,-3711,11490,0,0,0,0,7114281,7114280,2015-10-27 22:26:14,2015-10-27 22:26:14,Mansfield,Mansfield,0,1,4003,3,4003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,35200,0,0,0,False,True,13512,True,124816,False,-4003,-3711,21688,-1,-1,-1,118.0,-1,0,35200.0,5029.0,155899.0,118.0,0,0
