,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_10-day,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_10-day,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_10-day,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_10-day,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_10-day,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_10-day,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_10-day,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_10-day,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,next_refresh_base_gallons_10-day,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_10-day,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_10-day,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_10-day,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_10-day,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_10-day,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_10-day,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-12-11,2015-12-11 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,Valero-Meraux Refinery (PBMX),DSL - LSD/ULSD,-1,33600,1041600,235200,-1,1,37500,3,37500,37500,324534,0,324534,90142,1,w3,37500,0,90142,-1,50400,1041600,294000,-1,Limited,Available,Available,-1,150%,150,100%,100,125%,125,-1,Below Trend,On Track,On Track,-1,12/12 00:00:00 CST,01/01 00:00:00 CST,w4,0,2015-12-17 00:00:00,-1,Contract,Contract,Contract,-1,33600,-1,1041600,-1,-1,-1,12900,717066,203858,-1,0,0,0,-1,0,0,0,-1,9742154,9742156,9742155,-1,2015-12-11 22:12:50,2015-12-11 22:12:50,2015-12-11 22:12:50,-1,Mansfield,Mansfield,Mansfield,33600,1041600,235200,50400,1041600,294000,True,True,90142,True,0,0,12900,717066,203858,-1,-1,-1,88.0,133.0,0,235200.0,33600.0,1041600.0,-1,1,1
2015-12-12,2015-12-12 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,Valero-Meraux Refinery (PBMX),DSL - LSD/ULSD,-1,33600,1041600,235200,-1,1,0,3,0,0,324534,0,324534,90142,1,w3,0,0,90142,-1,50400,1041600,294000,-1,Available,Available,Available,-1,150%,150,100%,100,125%,125,-1,Below Trend,Below Trend,Below Trend,-1,12/13 00:00:00 CST,01/01 00:00:00 CST,w4,0,2015-12-17 00:00:00,-1,Contract,Contract,Contract,-1,33600,-1,1041600,-1,-1,-1,50400,717066,203858,-1,0,0,0,-1,0,0,0,-1,9790927,9790929,9790928,-1,2015-12-12 19:11:29,2015-12-12 19:11:29,2015-12-12 19:11:29,-1,Mansfield,Mansfield,Mansfield,33600,1041600,235200,50400,1041600,294000,True,True,90142,True,0,0,50400,717066,203858,-1,-1,-1,80.0,0.0,0,235200.0,33600.0,1041600.0,-1,1,1
2015-12-13,2015-12-13 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,Valero-Meraux Refinery (PBMX),DSL - LSD/ULSD,-1,33600,1041600,235200,-1,1,0,3,0,0,324534,0,324534,90142,1,w3,0,0,90142,-1,50400,1041600,294000,-1,Available,Available,Available,-1,150%,150,100%,100,125%,125,-1,Below Trend,Below Trend,Below Trend,-1,12/14 00:00:00 CST,01/01 00:00:00 CST,w4,0,2015-12-17 00:00:00,-1,Contract,Contract,Contract,-1,33600,-1,1041600,-1,-1,-1,50400,717066,203858,-1,0,0,0,-1,0,0,0,-1,9833467,9833469,9833468,-1,2015-12-13 22:11:53,2015-12-13 22:11:53,2015-12-13 22:11:53,-1,Mansfield,Mansfield,Mansfield,33600,1041600,235200,50400,1041600,294000,True,True,90142,True,0,0,50400,717066,203858,-1,-1,-1,74.0,0.0,0,235200.0,33600.0,1041600.0,-1,1,1
2015-12-14,2015-12-14 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,Valero-Meraux Refinery (PBMX),DSL - LSD/ULSD,-1,33600,1041600,235200,-1,1,41000,3,41000,41000,365534,0,365534,131142,1,w3,41000,0,131142,-1,50400,1041600,294000,-1,Limited,Available,Available,-1,150%,150,100%,100,125%,125,-1,On Track,Below Trend,Below Trend,-1,12/15 00:00:00 CST,01/01 00:00:00 CST,w4,0,2015-12-17 00:00:00,-1,Contract,Contract,Contract,-1,33600,-1,1041600,-1,-1,-1,9400,676066,162858,-1,0,0,0,-1,0,0,0,-1,9917581,9917583,9917582,-1,2015-12-14 22:24:53,2015-12-14 22:24:53,2015-12-14 22:24:53,-1,Mansfield,Mansfield,Mansfield,33600,1041600,235200,50400,1041600,294000,True,True,131142,True,0,0,9400,676066,162858,-1,-1,-1,78.0,133.0,0,235200.0,33600.0,1041600.0,-1,1,1
2015-12-15,2015-12-15 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,Valero-Meraux Refinery (PBMX),DSL - LSD/ULSD,-1,33600,1041600,235200,-1,1,28875,3,28875,25700,391234,0,391234,156842,1,w3,25700,0,160017,-1,50400,1041600,294000,-1,Available,Available,Available,-1,150%,150,100%,100,125%,125,-1,Below Trend,Below Trend,Below Trend,-1,12/16 00:00:00 CST,01/01 00:00:00 CST,w4,0,2015-12-17 00:00:00,-1,Contract,Contract,Contract,-1,33600,-1,1041600,-1,-1,-1,24700,650366,137158,-1,0,0,0,-1,0,0,0,-1,9991921,9991923,9991922,-1,2015-12-15 22:07:21,2015-12-15 22:07:21,2015-12-15 22:07:21,-1,Mansfield,Mansfield,Mansfield,33600,1041600,235200,50400,1041600,294000,False,True,160017,True,0,0,21525,650366,133983,-1,-1,-1,78.0,0.0,0,235200.0,33600.0,1041600.0,-1,0,0
2015-12-16,2015-12-16 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,Valero-Meraux Refinery (PBMX),DSL - LSD/ULSD,-1,33600,1041600,235200,-1,1,30000,0,30000,30000,424409,0,424409,190017,1,w3,30000,0,190017,-1,50400,1041600,294000,-1,Available,Available,Available,-1,150%,150,100%,100,125%,125,-1,Below Trend,Below Trend,Below Trend,-1,12/17 00:00:00 CST,01/01 00:00:00 CST,w4,0,2015-12-17 00:00:00,-1,Contract,Contract,Contract,-1,33600,-1,1041600,-1,-1,-1,20400,617191,103983,-1,0,0,0,-1,0,0,0,-1,10160985,10160987,10160986,-1,2015-12-16 22:00:11,2015-12-16 22:00:11,2015-12-16 22:00:11,-1,Mansfield,Mansfield,Mansfield,33600,1041600,235200,50400,1041600,294000,True,True,190017,True,0,0,20400,617191,103983,-1,-1,-1,79.0,0.0,0,235200.0,33600.0,1041600.0,-1,1,1
2015-12-17,2015-12-17 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,Valero-Meraux Refinery (PBMX),DSL - LSD/ULSD,-1,33600,1041600,235200,-1,1,38678,3,38678,35160,459569,0,459569,35160,1,w4,35160,0,38678,-1,50400,1041600,294000,-1,Limited,Available,Available,-1,150%,150,100%,100,125%,125,-1,Below Trend,Below Trend,On Track,-1,12/18 00:00:00 CST,01/01 00:00:00 CST,w5,0,2015-12-24 00:00:00,-1,Contract,Contract,Contract,-1,33600,-1,1041600,-1,-1,-1,15240,582031,258840,-1,0,0,0,-1,0,0,0,-1,10324709,10324711,10324710,-1,2015-12-17 22:00:09,2015-12-17 22:00:09,2015-12-17 22:00:09,-1,Mansfield,Mansfield,Mansfield,33600,1041600,235200,50400,1041600,294000,False,True,38678,True,0,0,11722,582031,255322,-1,-1,-1,80.0,133.0,0,235200.0,33600.0,1041600.0,-1,0,0
2015-12-18,2015-12-18 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,Valero-Meraux Refinery (PBMX),DSL - LSD/ULSD,-1,33600,1041600,235200,-1,3,37500,3,37500,37500,500587,0,500587,76178,1,w4,37500,0,76178,-1,50400,1041600,294000,-1,Limited,Available,Available,-1,150%,150,100%,100,125%,125,-1,Below Trend,Below Trend,On Track,-1,12/19 00:00:00 CST,01/01 00:00:00 CST,w5,0,2015-12-24 00:00:00,-1,Contract,Contract,Contract,-1,33600,-1,1041600,-1,-1,-1,12900,541013,217822,-1,0,0,0,-1,0,0,0,-1,10493328,10493330,10493329,-1,2015-12-18 22:00:10,2015-12-18 22:00:10,2015-12-18 22:00:10,-1,Mansfield,Mansfield,Mansfield,33600,1041600,235200,50400,1041600,294000,True,True,76178,True,0,0,12900,541013,217822,-1,-1,-1,83.0,133.0,0,235200.0,33600.0,1041600.0,-1,1,1
2015-12-19,2015-12-19 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,Valero-Meraux Refinery (PBMX),DSL - LSD/ULSD,-1,33600,1041600,235200,-1,0,3200,0,3200,3200,503787,0,503787,79378,0,w4,3200,0,79378,-1,50400,1041600,294000,-1,Available,Available,Available,-1,150%,150,100%,100,125%,125,-1,Below Trend,Below Trend,Below Trend,-1,12/20 00:00:00 CST,01/01 00:00:00 CST,w5,0,2015-12-24 00:00:00,-1,Contract,Contract,Contract,-1,-1,-1,-1,-1,-1,-1,47200,537813,214622,-1,0,0,0,-1,0,0,0,-1,10526806,10526808,10526807,-1,2015-12-19 11:00:11,2015-12-19 11:00:11,2015-12-19 11:00:11,-1,Mansfield,Mansfield,Mansfield,33600,1041600,235200,50400,1041600,294000,True,True,79378,True,0,0,47200,537813,214622,-1,-1,-1,79.0,0.0,0,235200.0,33600.0,1041600.0,-1,1,1
2015-12-20,2015-12-20 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,Valero-Meraux Refinery (PBMX),DSL - LSD/ULSD,-1,-1,-1,-1,-1,2,0,0,-1,-1,-1,2,503787,-1,2,w5,-1,0,79378,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,100,-1,125,-1,-1,-1,-1,-1,-1,-1,w5,1,2015-12-24 00:00:00,-1,-1,-1,-1,-1,33600,-1,1041600,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-12-20 00:00:00,2015-12-20 00:00:00,2015-12-20 00:00:00,-1,-1,-1,-1,33600,1041600,235200,50400,1041600,294000,True,True,79378,True,0,0,-1,-1,-1,-1,-1,-1,75.0,0.0,0,235200.0,33600.0,1041600.0,-1,0,1
