,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Weekly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Weekly,en_allocation_status_Weekly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Weekly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Weekly,next_refresh_base_gallons_Weekly,remaining_gallons_Weekly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Weekly,staging_id_Weekly,execution_date_Weekly,customer_name_Weekly,base_gallons_Daily,base_gallons_Monthly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,beginning_gallons_Daily,beginning_gallons_Monthly,en_allocation_status_Daily,en_allocation_status_Monthly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,alerts_ratability_Daily,alerts_ratability_Monthly,next_refresh_date_Daily,next_refresh_date_Monthly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,remaining_gallons_Daily,remaining_gallons_Monthly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,execution_date_Daily,execution_date_Monthly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-07-11,2015-07-11 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,7500,1,w3,0,0,0,48462,Available,100%,100,Above Trend,w3,0,2015-07-17 00:00:00,Contract,-1,40962,0,0,1428659,2015-07-11 22:03:25,Mansfield,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,False,True,0,True,0,True,0,0,48462,-1,-1,-1,-1,-1,0,48462.0,6923.0,214613.0,-1,0,1
2015-07-12,2015-07-12 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,7500,1,w3,0,0,0,48462,Available,100%,100,Above Trend,w3,0,2015-07-17 00:00:00,Contract,-1,40962,0,0,1481942,2015-07-12 22:03:38,Mansfield,0,0,1,0,3,14991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,False,True,0,True,0,True,0,0,48462,-1,-1,-1,-1,-1,0,48462.0,6923.0,214613.0,-1,0,1
2015-07-13,2015-07-13 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,22491,1,w3,0,0,0,48462,Available,100%,100,Above Trend,w3,0,2015-07-17 00:00:00,Contract,-1,25971,0,0,1538691,2015-07-13 22:03:44,Mansfield,0,0,1,0,3,22500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,False,True,0,True,0,True,0,0,48462,-1,-1,-1,-1,-1,0,48462.0,6923.0,214613.0,-1,0,1
2015-07-14,2015-07-14 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,44991,1,w3,0,0,0,48462,Out,100%,100,Above Trend,w3,0,2015-07-17 00:00:00,Contract,-1,3471,0,0,1592790,2015-07-14 22:03:46,Mansfield,0,0,1,0,3,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,True,True,0,True,0,True,0,0,48462,-1,-1,-1,-1,-1,0,48462.0,6923.0,214613.0,-1,0,1
2015-07-15,2015-07-15 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,52491,1,w3,0,0,0,48462,Available,100%,100,Above Trend,w3,0,2015-07-17 00:00:00,Contract,-1,-4029,15000,15000,1646945,2015-07-15 22:03:35,Mansfield,0,0,1,0,3,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,False,True,0,True,0,True,0,0,48462,-1,-1,-1,-1,-1,0,48462.0,6923.0,214613.0,-1,0,1
2015-07-16,2015-07-16 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,67491,1,w3,0,0,0,48462,Out,100%,100,Above Trend,w3,0,2015-07-17 00:00:00,Contract,-1,-19029,15000,0,1702482,2015-07-16 22:03:43,Mansfield,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,False,True,0,True,0,True,0,0,48462,-1,-1,-1,-1,-1,0,48462.0,6923.0,214613.0,-1,0,1
2015-07-17,2015-07-17 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,30000,1,w4,0,0,0,48462,Available,100%,100,Above Trend,w4,0,2015-07-24 00:00:00,Contract,-1,18462,0,0,1757591,2015-07-17 22:03:37,Mansfield,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,False,True,0,True,0,True,0,0,48462,-1,-1,-1,-1,-1,0,48462.0,6923.0,214613.0,-1,0,1
2015-07-18,2015-07-18 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,30000,1,w4,0,0,0,48462,Available,100%,100,Above Trend,w4,0,2015-07-24 00:00:00,Contract,-1,18462,0,0,1812321,2015-07-18 22:03:38,Mansfield,0,0,1,0,3,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,False,True,0,True,0,True,0,0,48462,-1,-1,-1,-1,-1,0,48462.0,6923.0,214613.0,-1,0,1
2015-07-19,2015-07-19 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,37500,1,w4,0,0,0,48462,Available,100%,100,Above Trend,w4,0,2015-07-24 00:00:00,Contract,-1,10962,0,0,1863473,2015-07-19 22:03:50,Mansfield,0,0,1,0,3,22502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,False,True,0,True,0,True,0,0,48462,-1,-1,-1,-1,-1,0,48462.0,6923.0,214613.0,-1,0,1
2015-07-20,2015-07-20 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,60002,1,w4,0,0,0,48462,Out,100%,100,Above Trend,w4,0,2015-07-24 00:00:00,Contract,-1,-4040,15000,7500,1915398,2015-07-20 22:03:51,Mansfield,0,0,1,0,3,7504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,False,True,0,True,0,True,0,0,48462,-1,-1,-1,-1,-1,0,48462.0,6923.0,214613.0,-1,0,1
2015-07-21,2015-07-21 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,67506,1,w4,0,0,0,48462,Out,100%,100,Above Trend,w4,0,2015-07-24 00:00:00,Contract,-1,-4040,15000,4,1969169,2015-07-21 22:05:44,Mansfield,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,False,True,0,True,0,True,0,0,48462,-1,-1,-1,-1,-1,0,48462.0,6923.0,214613.0,-1,0,1
2015-07-22,2015-07-22 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,67506,1,w4,0,0,0,48462,Out,100%,100,Above Trend,w4,0,2015-07-24 00:00:00,Contract,-1,-4040,15000,4,2022621,2015-07-22 22:03:41,Mansfield,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,False,True,0,True,0,True,0,0,48462,-1,-1,-1,-1,-1,0,48462.0,6923.0,214613.0,-1,0,1
2015-07-23,2015-07-23 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,67506,1,w4,0,0,0,48462,Out,100%,100,Above Trend,w4,0,2015-07-24 00:00:00,Contract,-1,-4040,15000,4,2075712,2015-07-23 22:02:34,Mansfield,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,False,True,0,True,0,True,0,0,48462,-1,-1,-1,-1,-1,0,48462.0,6923.0,214613.0,-1,0,1
2015-07-24,2015-07-24 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,7500,1,w5,0,0,0,48462,Available,100%,100,Above Trend,w5,0,2015-07-31 00:00:00,Contract,-1,40962,0,0,2132101,2015-07-24 22:03:00,Mansfield,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,False,True,0,True,0,True,0,0,48462,-1,-1,-1,-1,-1,0,48462.0,6923.0,214613.0,-1,0,1
2015-07-25,2015-07-25 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,7500,1,w5,0,0,0,48462,Available,100%,100,Above Trend,w5,0,2015-07-31 00:00:00,Contract,-1,40962,0,0,2190746,2015-07-25 22:02:43,Mansfield,0,0,1,0,3,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,True,True,0,True,0,True,0,0,48462,-1,-1,-1,-1,-1,0,48462.0,6923.0,214613.0,-1,0,1
2015-07-26,2015-07-26 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,15000,1,w5,0,0,0,48462,Available,100%,100,Above Trend,w5,0,2015-07-31 00:00:00,Contract,-1,33462,0,0,2243429,2015-07-26 22:02:48,Mansfield,0,0,1,0,3,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,False,True,0,True,0,True,0,0,48462,-1,-1,-1,-1,-1,0,48462.0,6923.0,214613.0,-1,0,1
2015-07-27,2015-07-27 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,30000,1,w5,0,0,0,48462,Available,100%,100,Above Trend,w5,0,2015-07-31 00:00:00,Contract,-1,18462,0,0,2297516,2015-07-27 22:02:42,Mansfield,0,0,1,0,3,4600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,False,True,0,True,0,True,0,0,48462,-1,-1,-1,-1,-1,0,48462.0,6923.0,214613.0,-1,0,1
2015-07-28,2015-07-28 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,34600,1,w5,0,0,0,48462,Available,100%,100,Above Trend,w5,0,2015-07-31 00:00:00,Contract,-1,13862,0,0,2351239,2015-07-28 22:02:53,Mansfield,0,0,1,0,3,15200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,False,True,0,True,0,True,0,0,48462,-1,-1,-1,-1,-1,0,48462.0,6923.0,214613.0,-1,0,1
2015-07-29,2015-07-29 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,49800,1,w5,0,0,0,48462,Available,100%,100,Above Trend,w5,0,2015-07-31 00:00:00,Contract,-1,-1338,7500,7500,2404020,2015-07-29 22:03:00,Mansfield,0,0,1,0,3,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,True,True,0,True,0,True,0,0,48462,-1,-1,-1,-1,-1,0,48462.0,6923.0,214613.0,-1,0,1
2015-07-30,2015-07-30 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,57300,1,w5,0,0,0,48462,Out,100%,100,Above Trend,w5,0,2015-07-31 00:00:00,Contract,-1,-1338,7500,0,2458527,2015-07-30 22:02:42,Mansfield,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,False,True,0,True,0,True,0,0,48462,-1,-1,-1,-1,-1,0,48462.0,6923.0,214613.0,-1,0,1
2015-07-31,2015-07-31 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,7500,1,w6,0,0,0,48462,Available,100%,100,Above Trend,w6,0,2015-08-07 00:00:00,Contract,-1,40962,0,0,2513356,2015-07-31 22:02:58,Mansfield,0,0,1,0,1,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,True,True,0,True,0,True,0,0,48462,-1,-1,-1,-1,-1,0,48462.0,6923.0,214613.0,-1,0,1
