,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Weekly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Weekly,en_allocation_status_Weekly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Weekly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Weekly,next_refresh_base_gallons_Weekly,remaining_gallons_Weekly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Weekly,staging_id_Weekly,execution_date_Weekly,customer_name_Weekly,base_gallons_Daily,base_gallons_Monthly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,beginning_gallons_Daily,beginning_gallons_Monthly,en_allocation_status_Daily,en_allocation_status_Monthly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,alerts_ratability_Daily,alerts_ratability_Monthly,next_refresh_date_Daily,next_refresh_date_Monthly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,remaining_gallons_Daily,remaining_gallons_Monthly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,execution_date_Daily,execution_date_Monthly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-07-01,2015-07-01 00:00:00,Husky,MANSFIELD GAS AT AKRON,MANSFIELD GAS CONTRACT- AKRON,87 Gas,34615,34001,1,w1,0,0,0,34615,Out,100%,100,Above Trend,w1,0,2015-07-03 00:00:00,Contract,-1,614,0,0,1192007,2015-07-01 22:02:28,Mansfield,0,0,1,0,3,8502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34615,0,0,34615,False,True,0,True,0,True,0,0,34615,-1,-1,-1,-1,-1,0,34615.0,4945.0,153295.0,-1,0,1
2015-07-02,2015-07-02 00:00:00,Husky,MANSFIELD GAS AT AKRON,MANSFIELD GAS CONTRACT- AKRON,87 Gas,34615,42503,1,w1,0,0,0,34615,Out,100%,100,Above Trend,w1,0,2015-07-03 00:00:00,Contract,-1,-7888,0,0,1228381,2015-07-02 15:02:32,Mansfield,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34615,0,0,34615,False,True,0,True,0,True,0,0,34615,-1,-1,-1,-1,-1,0,34615.0,4945.0,153295.0,-1,0,1
2015-07-03,2015-07-03 00:00:00,Husky,MANSFIELD GAS AT AKRON,MANSFIELD GAS CONTRACT- AKRON,87 Gas,34615,0,1,w2,0,0,0,34615,Available,100%,100,Below Trend,w2,0,2015-07-10 00:00:00,Contract,-1,34615,0,0,1240386,2015-07-03 08:56:18,Mansfield,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34615,0,0,34615,True,True,0,True,0,True,0,0,34615,-1,-1,-1,-1,-1,0,34615.0,4945.0,153295.0,-1,0,1
2015-07-04,2015-07-04 00:00:00,Husky,MANSFIELD GAS AT AKRON,MANSFIELD GAS CONTRACT- AKRON,87 Gas,34615,0,1,w2,0,0,0,34615,Available,100%,100,Below Trend,w2,0,2015-07-10 00:00:00,Contract,-1,34615,0,0,1250527,2015-07-04 08:02:37,Mansfield,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34615,0,0,34615,True,True,0,True,0,True,0,0,34615,-1,-1,-1,-1,-1,0,34615.0,4945.0,153295.0,-1,0,1
2015-07-05,2015-07-05 00:00:00,Husky,MANSFIELD GAS AT AKRON,MANSFIELD GAS CONTRACT- AKRON,87 Gas,34615,0,1,w2,0,0,0,34615,Available,100%,100,Below Trend,w2,0,2015-07-10 00:00:00,Contract,-1,34615,0,0,1260899,2015-07-05 08:02:34,Mansfield,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34615,0,0,34615,True,True,0,True,0,True,0,0,34615,-1,-1,-1,-1,-1,0,34615.0,4945.0,153295.0,-1,0,1
2015-07-06,2015-07-06 00:00:00,Husky,MANSFIELD GAS AT AKRON,MANSFIELD GAS CONTRACT- AKRON,87 Gas,34615,0,1,w2,0,0,0,34615,Available,100%,100,Below Trend,w2,0,2015-07-10 00:00:00,Contract,-1,34615,0,0,1271271,2015-07-06 08:03:25,Mansfield,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34615,0,0,34615,True,True,0,True,0,True,0,0,34615,-1,-1,-1,-1,-1,0,34615.0,4945.0,153295.0,-1,0,1
2015-07-07,2015-07-07 00:00:00,Husky,MANSFIELD GAS AT AKRON,MANSFIELD GAS CONTRACT- AKRON,87 Gas,34615,0,1,w2,0,0,0,34615,Available,100%,100,Below Trend,w2,0,2015-07-10 00:00:00,Contract,-1,34615,0,0,1292366,2015-07-07 22:02:28,Mansfield,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34615,0,0,34615,True,True,0,True,0,True,0,0,34615,-1,-1,-1,-1,-1,0,34615.0,4945.0,153295.0,-1,0,1
2015-07-08,2015-07-08 00:00:00,Husky,MANSFIELD GAS AT AKRON,MANSFIELD GAS CONTRACT- AKRON,87 Gas,34615,0,1,w2,0,0,0,34615,Available,100%,100,Below Trend,w2,0,2015-07-10 00:00:00,Contract,-1,34615,0,0,1312996,2015-07-08 12:03:20,Mansfield,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34615,0,0,34615,True,True,0,True,0,True,0,0,34615,-1,-1,-1,-1,-1,0,34615.0,4945.0,153295.0,-1,0,1
2015-07-09,2015-07-09 00:00:00,Husky,MANSFIELD GAS AT AKRON,MANSFIELD GAS CONTRACT- AKRON,87 Gas,34615,0,1,w2,0,0,0,34615,Available,100%,100,Below Trend,w2,0,2015-07-10 00:00:00,Contract,-1,34615,0,0,1325659,2015-07-09 18:01:28,Mansfield,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34615,0,0,34615,True,True,0,True,0,True,0,0,34615,-1,-1,-1,-1,-1,0,34615.0,4945.0,153295.0,-1,0,1
2015-07-10,2015-07-10 00:00:00,Husky,MANSFIELD GAS AT AKRON,MANSFIELD GAS CONTRACT- AKRON,87 Gas,34615,0,1,w2,0,0,0,34615,Available,100%,100,Below Trend,w3,0,2015-07-17 00:00:00,Contract,-1,34615,0,0,1373744,2015-07-10 22:03:32,Mansfield,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34615,0,0,34615,True,True,0,True,0,True,0,0,34615,-1,-1,-1,-1,-1,0,34615.0,4945.0,153295.0,-1,0,1
