,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_10-day,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_10-day,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_10-day,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_10-day,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_10-day,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_10-day,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_10-day,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_10-day,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,next_refresh_base_gallons_10-day,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_10-day,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_10-day,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_10-day,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_10-day,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_10-day,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_10-day,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2016-01-01,2016-01-01 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,CalJet - Phoenix (B285),DSL - LSD/ULSD,-1,-1,448560,104664,-1,1,0,3,14799,-1,0,0,0,14799,1,w1,-1,0,0,-1,-1,448560,104664,-1,-1,Available,Available,-1,-1,100,100%,100,100%,100,-1,-1,Below Trend,Below Trend,-1,-1,02/01 00:00:00 MST,w1,0,2016-01-07 00:00:00,-1,-1,Contract,Contract,-1,-1,-1,448560,-1,-1,-1,-1,448560,89865,-1,-1,0,0,-1,-1,0,0,-1,-1,11389988,11389987,-1,2016-01-01 00:00:00,2016-01-01 22:21:00,2016-01-01 22:21:00,-1,-1,Mansfield,Mansfield,-1,448560,104664,-1,448560,104664,True,True,0,0,0,0,-1,448560,104664,-1,-1,-1,-1.0,-1,0,104664.0,14952.0,463512.0,-1,0,1
2016-01-02,2016-01-02 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,CalJet - Phoenix (B285),DSL - LSD/ULSD,-1,-1,448560,104664,-1,0,-1,0,-1,-1,7298,0,7298,22097,0,w1,-1,0,22097,-1,-1,448560,104664,-1,-1,Available,Available,-1,-1,100,100%,100,100%,100,-1,-1,Below Trend,Below Trend,-1,-1,02/01 00:00:00 MST,w1,0,2016-01-07 00:00:00,-1,-1,Contract,Contract,-1,-1,-1,448560,-1,-1,-1,-1,441262,82567,-1,-1,0,0,-1,-1,0,0,-1,-1,11442116,11442115,-1,2016-01-02 00:00:00,2016-01-02 22:18:56,2016-01-02 22:18:56,-1,-1,Mansfield,Mansfield,-1,448560,104664,-1,448560,104664,False,False,0,0,0,0,-1,441262,82567,-1,-1,-1,25.0,-1,0,104664.0,14952.0,463512.0,-1,0,0
2016-01-03,2016-01-03 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,CalJet - Phoenix (B285),DSL - LSD/ULSD,-1,-1,448560,104664,-1,0,-1,0,-1,-1,7298,0,7298,22097,0,w1,-1,0,22097,-1,-1,448560,104664,-1,-1,Available,Available,-1,-1,100,100%,100,100%,100,-1,-1,Below Trend,Below Trend,-1,-1,02/01 00:00:00 MST,w1,0,2016-01-07 00:00:00,-1,-1,Contract,Contract,-1,-1,-1,448560,-1,-1,-1,-1,441262,82567,-1,-1,0,0,-1,-1,0,0,-1,-1,11495164,11495163,-1,2016-01-03 00:00:00,2016-01-03 22:15:00,2016-01-03 22:15:00,-1,-1,Mansfield,Mansfield,-1,448560,104664,-1,448560,104664,False,False,0,0,0,0,-1,441262,82567,-1,-1,-1,17.0,-1,0,104664.0,14952.0,463512.0,-1,0,0
2016-01-04,2016-01-04 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,CalJet - Phoenix (B285),DSL - LSD/ULSD,-1,-1,448560,104664,-1,0,-1,0,-1,-1,29604,0,29604,44403,0,w1,-1,0,44403,-1,-1,448560,104664,-1,-1,Available,Available,-1,-1,100,100%,100,100%,100,-1,-1,Below Trend,Below Trend,-1,-1,02/01 00:00:00 MST,w1,0,2016-01-07 00:00:00,-1,-1,Contract,Contract,-1,-1,-1,448560,-1,-1,-1,-1,418956,60261,-1,-1,0,0,-1,-1,0,0,-1,-1,11619417,11619416,-1,2016-01-04 00:00:00,2016-01-04 22:28:28,2016-01-04 22:28:28,-1,-1,Mansfield,Mansfield,-1,448560,104664,-1,448560,104664,False,False,0,0,0,0,-1,418956,60261,-1,-1,-1,51.0,-1,0,104664.0,14952.0,463512.0,-1,0,0
2016-01-05,2016-01-05 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,CalJet - Phoenix (B285),DSL - LSD/ULSD,-1,-1,448560,104664,-1,0,-1,0,-1,-1,29604,0,29604,44403,0,w1,-1,0,44403,-1,-1,448560,104664,-1,-1,Available,Available,-1,-1,100,100%,100,100%,100,-1,-1,Below Trend,Below Trend,-1,-1,02/01 00:00:00 MST,w1,0,2016-01-07 00:00:00,-1,-1,Contract,Contract,-1,-1,-1,448560,-1,-1,-1,-1,418956,60261,-1,-1,0,0,-1,-1,0,0,-1,-1,11792520,11792519,-1,2016-01-05 00:00:00,2016-01-05 22:00:11,2016-01-05 22:00:11,-1,-1,Mansfield,Mansfield,-1,448560,104664,-1,448560,104664,False,False,0,0,0,0,-1,418956,60261,-1,-1,-1,41.0,-1,0,104664.0,14952.0,463512.0,-1,0,0
2016-01-06,2016-01-06 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,CalJet - Phoenix (B285),DSL - LSD/ULSD,-1,-1,448560,104664,-1,0,-1,0,-1,-1,66901,0,66901,81700,0,w1,-1,0,81700,-1,-1,448560,104664,-1,-1,Available,Limited,-1,-1,100,100%,100,100%,100,-1,-1,Below Trend,Below Trend,-1,-1,02/01 00:00:00 MST,w1,0,2016-01-07 00:00:00,-1,-1,Contract,Contract,-1,-1,-1,448560,-1,-1,-1,-1,381659,22964,-1,-1,0,0,-1,-1,0,0,-1,-1,11939994,11939993,-1,2016-01-06 00:00:00,2016-01-06 20:25:14,2016-01-06 20:25:14,-1,-1,Mansfield,Mansfield,-1,448560,104664,-1,448560,104664,False,False,0,0,0,0,-1,381659,22964,-1,-1,-1,77.0,-1,0,104664.0,14952.0,463512.0,-1,0,0
2016-01-07,2016-01-07 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,CalJet - Phoenix (B285),DSL - LSD/ULSD,-1,-1,448560,104664,-1,3,22502,1,22502,-1,89403,0,89403,22502,0,w2,-1,0,22502,-1,-1,448560,104664,-1,-1,Available,Available,-1,-1,100,100%,100,100%,100,-1,-1,On Track,Above Trend,-1,-1,02/01 00:00:00 MST,w2,0,2016-01-14 00:00:00,-1,-1,Contract,Contract,-1,-1,-1,448560,-1,-1,-1,-1,359157,82162,-1,-1,0,0,-1,-1,0,0,-1,-1,12105158,12105157,-1,2016-01-07 00:00:00,2016-01-07 22:00:09,2016-01-07 22:00:09,-1,-1,Mansfield,Mansfield,-1,448560,104664,-1,448560,104664,True,True,0,0,0,0,-1,359157,82162,-1,-1,-1,88.0,-1,0,104664.0,14952.0,463512.0,-1,0,0
2016-01-08,2016-01-08 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,CalJet - Phoenix (B285),DSL - LSD/ULSD,-1,-1,448560,104664,-1,0,-1,0,-1,-1,96904,0,96904,30003,0,w2,-1,0,30003,-1,-1,448560,104664,-1,-1,Available,Available,-1,-1,100,100%,100,100%,100,-1,-1,On Track,On Track,-1,-1,02/01 00:00:00 MST,w2,0,2016-01-14 00:00:00,-1,-1,Contract,Contract,-1,-1,-1,448560,-1,-1,-1,-1,351656,74661,-1,-1,0,0,-1,-1,0,0,-1,-1,12256280,12256279,-1,2016-01-08 00:00:00,2016-01-08 22:00:07,2016-01-08 22:00:07,-1,-1,Mansfield,Mansfield,-1,448560,104664,-1,448560,104664,False,False,0,0,0,0,-1,351656,74661,-1,-1,-1,84.0,-1,0,104664.0,14952.0,463512.0,-1,0,0
2016-01-09,2016-01-09 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,CalJet - Phoenix (B285),DSL - LSD/ULSD,-1,-1,448560,104664,-1,0,-1,0,-1,-1,96904,0,96904,30003,0,w2,-1,0,30003,-1,-1,448560,104664,-1,-1,Available,Available,-1,-1,100,100%,100,100%,100,-1,-1,Below Trend,Below Trend,-1,-1,02/01 00:00:00 MST,w2,0,2016-01-14 00:00:00,-1,-1,Contract,Contract,-1,-1,-1,448560,-1,-1,-1,-1,351656,74661,-1,-1,0,0,-1,-1,0,0,-1,-1,12412768,12412767,-1,2016-01-09 00:00:00,2016-01-09 22:00:10,2016-01-09 22:00:10,-1,-1,Mansfield,Mansfield,-1,448560,104664,-1,448560,104664,False,False,0,0,0,0,-1,351656,74661,-1,-1,-1,74.0,-1,0,104664.0,14952.0,463512.0,-1,0,0
2016-01-10,2016-01-10 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,CalJet - Phoenix (B285),DSL - LSD/ULSD,-1,-1,448560,104664,-1,0,-1,0,-1,-1,104204,0,104204,37303,0,w2,-1,0,37303,-1,-1,448560,104664,-1,-1,Available,Available,-1,-1,100,100%,100,100%,100,-1,-1,Below Trend,Below Trend,-1,-1,02/01 00:00:00 MST,w2,0,2016-01-14 00:00:00,-1,-1,Contract,Contract,-1,-1,-1,448560,-1,-1,-1,-1,344356,67361,-1,-1,0,0,-1,-1,0,0,-1,-1,12563827,12563826,-1,2016-01-10 00:00:00,2016-01-10 22:00:07,2016-01-10 22:00:07,-1,-1,Mansfield,Mansfield,-1,448560,104664,-1,448560,104664,False,False,0,0,0,0,-1,344356,67361,-1,-1,-1,72.0,-1,0,104664.0,14952.0,463512.0,-1,0,0
