,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_10-day,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_10-day,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_10-day,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_10-day,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_10-day,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_10-day,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_10-day,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_10-day,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,next_refresh_base_gallons_10-day,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_10-day,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_10-day,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_10-day,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_10-day,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_10-day,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_10-day,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-06-11,2015-06-11 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,Valero-Meraux Refinery (PBMX),DSL - LSD/ULSD,-1.0,33600.0,1008000.0,235200.0,-1.0,1,45500.0,0,45500.0,45500.0,282594.0,0,282594.0,45500,1,w4,45500.0,0,45500.0,-1.0,50400.0,1008000.0,294000.0,-1,Limited,Available,Available,-1,150%,150,100%,100,125%,125,-1,Above Trend,Below Trend,Above Trend,-1,06/12 00:00:00 CDT,07/01 00:00:00 CDT,w3,0,2015-06-18 00:00:00,-1,Contract,Contract,Contract,-1,33600.0,-1,1008000.0,-1,-1,-1.0,4900.0,725406.0,248500.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1,265237,265239,265238,-1,2015-06-11 14:44:35,2015-06-11 14:44:35,2015-06-11 14:44:35,-1,Mansfield,Mansfield,Mansfield,33600.0,1008000.0,235200.0,50400.0,1008000.0,294000.0,True,True,45500,True,0,0,4900,725406,248500,-1,-1,-1,76.0,271.0,inf,235200.0,33600.0,1008000.0,-1,0,0
2015-06-12,2015-06-12 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,Valero-Meraux Refinery (PBMX),DSL - LSD/ULSD,-1.0,33600.0,1008000.0,235200.0,-1.0,1,10100.0,0,10100.0,10100.0,292694.0,0,292694.0,55600,1,w4,10100.0,0,55600.0,-1.0,50400.0,1008000.0,294000.0,-1,Available,Available,Available,-1,150%,150,100%,100,125%,125,-1,Below Trend,Below Trend,Below Trend,-1,06/13 00:00:00 CDT,07/01 00:00:00 CDT,w3,0,2015-06-18 00:00:00,-1,Contract,Contract,Contract,-1,33600.0,-1,1008000.0,-1,-1,-1.0,40300.0,715306.0,238400.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1,280385,280387,280386,-1,2015-06-12 14:20:57,2015-06-12 14:20:57,2015-06-12 14:20:57,-1,Mansfield,Mansfield,Mansfield,33600.0,1008000.0,235200.0,50400.0,1008000.0,294000.0,True,True,55600,True,0,0,40300,715306,238400,-1,-1,-1,73.0,60.0,inf,235200.0,33600.0,1008000.0,-1,0,0
2015-06-13,2015-06-13 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,Valero-Meraux Refinery (PBMX),DSL - LSD/ULSD,-1.0,33600.0,1008000.0,235200.0,-1.0,1,0.0,0,0.0,0.0,292694.0,0,292694.0,55600,1,w4,0.0,0,55600.0,-1.0,50400.0,1008000.0,294000.0,-1,Available,Available,Available,-1,150%,150,100%,100,125%,125,-1,Below Trend,Below Trend,Below Trend,-1,06/14 00:00:00 CDT,07/01 00:00:00 CDT,w3,0,2015-06-18 00:00:00,-1,Contract,Contract,Contract,-1,33600.0,-1,1008000.0,-1,-1,-1.0,50400.0,715306.0,238400.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1,322308,322310,322309,-1,2015-06-13 22:11:07,2015-06-13 22:11:07,2015-06-13 22:11:07,-1,Mansfield,Mansfield,Mansfield,33600.0,1008000.0,235200.0,50400.0,1008000.0,294000.0,True,True,55600,True,0,0,50400,715306,238400,-1,-1,-1,67.0,0.0,inf,235200.0,33600.0,1008000.0,-1,0,0
2015-06-14,2015-06-14 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,Valero-Meraux Refinery (PBMX),DSL - LSD/ULSD,-1.0,33600.0,1008000.0,235200.0,-1.0,1,0.0,0,0.0,0.0,292694.0,0,292694.0,55600,1,w4,0.0,0,55600.0,-1.0,50400.0,1008000.0,294000.0,-1,Available,Available,Available,-1,150%,150,100%,100,125%,125,-1,Below Trend,Below Trend,Below Trend,-1,06/15 00:00:00 CDT,07/01 00:00:00 CDT,w3,0,2015-06-18 00:00:00,-1,Contract,Contract,Contract,-1,33600.0,-1,1008000.0,-1,-1,-1.0,50400.0,715306.0,238400.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1,364644,364646,364645,-1,2015-06-14 22:11:20,2015-06-14 22:11:20,2015-06-14 22:11:20,-1,Mansfield,Mansfield,Mansfield,33600.0,1008000.0,235200.0,50400.0,1008000.0,294000.0,True,True,55600,True,0,0,50400,715306,238400,-1,-1,-1,62.0,0.0,inf,235200.0,33600.0,1008000.0,-1,0,0
2015-06-15,2015-06-15 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,Valero-Meraux Refinery (PBMX),DSL - LSD/ULSD,-1.0,33600.0,1008000.0,235200.0,-1.0,1,54200.0,0,54200.0,54200.0,346894.0,0,346894.0,109800,1,w4,54200.0,0,109800.0,-1.0,50400.0,1008000.0,294000.0,-1,Out,Available,Available,-1,150%,150,100%,100,125%,125,-1,On Track,Below Trend,Below Trend,-1,06/16 00:00:00 CDT,07/01 00:00:00 CDT,w3,0,2015-06-18 00:00:00,-1,Contract,Contract,Contract,-1,33600.0,-1,1008000.0,-1,-1,-1.0,-3800.0,661106.0,184200.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1,415260,415262,415261,-1,2015-06-15 22:11:33,2015-06-15 22:11:33,2015-06-15 22:11:33,-1,Mansfield,Mansfield,Mansfield,33600.0,1008000.0,235200.0,50400.0,1008000.0,294000.0,True,True,109800,True,0,0,-3800,661106,184200,-1,-1,-1,69.0,215.0,inf,235200.0,33600.0,1008000.0,-1,0,0
2015-06-16,2015-06-16 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,Valero-Meraux Refinery (PBMX),DSL - LSD/ULSD,-1.0,33600.0,1008000.0,235200.0,-1.0,1,48501.0,0,48501.0,48501.0,395395.0,0,395395.0,158301,1,w4,48501.0,0,158301.0,-1.0,50400.0,1008000.0,294000.0,-1,Limited,Available,Available,-1,150%,150,100%,100,125%,125,-1,On Track,Below Trend,Below Trend,-1,06/17 00:00:00 CDT,07/01 00:00:00 CDT,w3,0,2015-06-18 00:00:00,-1,Contract,Contract,Contract,-1,33600.0,-1,1008000.0,-1,-1,-1.0,1899.0,612605.0,135699.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1,463091,463093,463092,-1,2015-06-16 22:11:16,2015-06-16 22:11:16,2015-06-16 22:11:16,-1,Mansfield,Mansfield,Mansfield,33600.0,1008000.0,235200.0,50400.0,1008000.0,294000.0,True,True,158301,True,0,0,1899,612605,135699,-1,-1,-1,74.0,192.0,inf,235200.0,33600.0,1008000.0,-1,0,0
2015-06-17,2015-06-17 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,Valero-Meraux Refinery (PBMX),DSL - LSD/ULSD,-1.0,33600.0,1008000.0,235200.0,-1.0,1,37551.0,0,37551.0,37551.0,432946.0,0,432946.0,195852,1,w4,37551.0,0,195852.0,-1.0,50400.0,1008000.0,294000.0,-1,Limited,Available,Limited,-1,150%,150,100%,100,125%,125,-1,Below Trend,Below Trend,Below Trend,-1,06/18 00:00:00 CDT,07/01 00:00:00 CDT,w3,0,2015-06-18 00:00:00,-1,Contract,Contract,Contract,-1,33600.0,-1,1008000.0,-1,-1,-1.0,12849.0,575054.0,98148.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1,513636,513638,513637,-1,2015-06-17 22:11:20,2015-06-17 22:11:20,2015-06-17 22:11:20,-1,Mansfield,Mansfield,Mansfield,33600.0,1008000.0,235200.0,50400.0,1008000.0,294000.0,True,True,195852,True,0,0,12849,575054,98148,-1,-1,-1,76.0,149.0,83.0,235200.0,33600.0,1008000.0,-1,0,0
2015-06-18,2015-06-18 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,Valero-Meraux Refinery (PBMX),DSL - LSD/ULSD,-1.0,33600.0,1008000.0,235200.0,-1.0,1,32750.0,0,32750.0,32750.0,465696.0,0,465696.0,32750,1,w5,32750.0,0,32750.0,-1.0,50400.0,1008000.0,294000.0,-1,Available,Available,Available,-1,150%,150,100%,100,125%,125,-1,Below Trend,Below Trend,On Track,-1,06/19 00:00:00 CDT,07/01 00:00:00 CDT,w4,0,2015-06-25 00:00:00,-1,Contract,Contract,Contract,-1,33600.0,-1,1008000.0,-1,-1,-1.0,17650.0,542304.0,261250.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1,564664,564666,564665,-1,2015-06-18 22:11:19,2015-06-18 22:11:19,2015-06-18 22:11:19,-1,Mansfield,Mansfield,Mansfield,33600.0,1008000.0,235200.0,50400.0,1008000.0,294000.0,True,True,32750,True,0,0,17650,542304,261250,-1,-1,-1,77.0,130.0,inf,235200.0,33600.0,1008000.0,-1,0,0
2015-06-19,2015-06-19 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,Valero-Meraux Refinery (PBMX),DSL - LSD/ULSD,-1.0,33600.0,1008000.0,235200.0,-1.0,1,10025.0,0,10025.0,10025.0,475721.0,0,475721.0,42775,1,w5,10025.0,0,42775.0,-1.0,50400.0,1008000.0,294000.0,-1,Available,Available,Available,-1,150%,150,100%,100,125%,125,-1,Below Trend,Below Trend,Below Trend,-1,06/20 00:00:00 CDT,07/01 00:00:00 CDT,w4,0,2015-06-25 00:00:00,-1,Contract,Contract,Contract,-1,33600.0,-1,1008000.0,-1,-1,-1.0,40375.0,532279.0,251225.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1,612962,612964,612963,-1,2015-06-19 22:11:36,2015-06-19 22:11:36,2015-06-19 22:11:36,-1,Mansfield,Mansfield,Mansfield,33600.0,1008000.0,235200.0,50400.0,1008000.0,294000.0,True,True,42775,True,0,0,40375,532279,251225,-1,-1,-1,75.0,40.0,inf,235200.0,33600.0,1008000.0,-1,0,0
2015-06-20,2015-06-20 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,Valero-Meraux Refinery (PBMX),DSL - LSD/ULSD,-1.0,33600.0,1008000.0,235200.0,-1.0,1,0.0,0,0.0,0.0,475721.0,0,475721.0,42775,1,w5,0.0,0,42775.0,-1.0,50400.0,1008000.0,294000.0,-1,Available,Available,Available,-1,150%,150,100%,100,125%,125,-1,Below Trend,Below Trend,Below Trend,-1,06/21 00:00:00 CDT,07/01 00:00:00 CDT,w4,0,2015-06-25 00:00:00,-1,Contract,Contract,Contract,-1,33600.0,-1,1008000.0,-1,-1,-1.0,50400.0,532279.0,251225.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1,661105,661107,661106,-1,2015-06-20 22:11:19,2015-06-20 22:11:19,2015-06-20 22:11:19,-1,Mansfield,Mansfield,Mansfield,33600.0,1008000.0,235200.0,50400.0,1008000.0,294000.0,True,True,42775,True,0,0,50400,532279,251225,-1,-1,-1,71.0,0.0,inf,235200.0,33600.0,1008000.0,-1,0,0
